اسم_المدرسة,المنطقة_الإدارية,الإدارة_التعليمية,المكتب_التعليمي,السلطة,نوع_التعليم,الجنس,نوع_الاختبار,تخصص_الاختبار,متوسط_أداء_الطلبة_في_المدرسة,ترتيب_المدرسة_على_مستوى_المدارس
مدرسة التهذيب الثانوية الأهلية مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بالقطيف,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.501587,31
ثانوية الإمام نافع لتحفيظ القران الكريم - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالجنوب,حكومي,تحفيظ بنين,بنين,قدرات,نظري,76.392156,31
مدارس العلوم الشرعية الأهلية - المرحلة الثانوية	 (مقررات),المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شمال المدينة المنورة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.494219,32
مدرسة تحفيظ القرآن الكريم الثانوية - مقررات,الرياض,إدارة التعليم بمحافظة الزلفي,إدارة الإشراف التربوي,حكومي,تحفيظ بنين,بنين,قدرات,نظري,75.842105,32
ثانوية نجد الأهلية (مقررات),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالشمال,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.378531,33
المعهد العلمي في الريــــاض - المرحلة الثانوية,الرياض,وكالة المعاهد العلمية بجامعة الامام,الرياض,معهد جامعة الامام,معهد علمي,بنين,قدرات,نظري,75.83603600000001,33
مدارس منارات الشرقية العالمية الثانوية,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بالظهران,تعليم عالمي,تعليم عالمي بنين,بنين,قدرات,علمي,82.246666,34
ثانوية أبي بن كعب  لتحفيظ القرآن الكريم - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,حكومي,تحفيظ بنين,بنين,قدرات,نظري,75.76923,34
ثانوية المناهج الأهلية - نظام المقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالشمال,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.015113,35
المعهد العلمي في محافظة عنيـــزة - المرحلة الثانوية,القصيم,وكالة المعاهد العلمية بجامعة الامام,الرياض,معهد جامعة الامام,معهد علمي,بنين,قدرات,نظري,75.587301,35
دار الفكر الثانوية العالمية,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بالنسيم,تعليم عالمي,تعليم عالمي بنين,بنين,قدرات,علمي,81.914062,36
ثانوية الكسائي لتحفيظ  القرآن الكريم بالبدائع - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم بمحافظة البدائع,حكومي,تحفيظ بنين,بنين,قدرات,نظري,75.166666,36
ثانوية الرواد  العالمية,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالشمال,تعليم عالمي,تعليم عالمي بنين,بنين,قدرات,علمي,81.86631,37
المعهد العلمي في المــلـــز - المرحلة الثانوية,الرياض,وكالة المعاهد العلمية بجامعة الامام,الرياض,معهد جامعة الامام,معهد علمي,بنين,قدرات,نظري,75.11157,37
ثانوية الغد الأهلية (مقررات),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالروضة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,81.745967,38
مجمع الشيخ صالح بن عبدالعزيز الراجحي لتحفيظ القرآن الكريم -ثانوي - مقررات,القصيم,إدارة التعليم بمحافظة البكيرية,إدارة الإشراف التربوي,حكومي,تحفيظ بنين,بنين,قدرات,نظري,75.089552,38
ثانوية الخليج الأهلية (مقررات),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالشمال,أهلي,تعليم عام بنين,بنين,قدرات,علمي,81.576045,39
الإمام أبو عمرو البصري لتحفيظ القرآن الثانوية - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة الطائف,مكتب تعليم الحوية,حكومي,تحفيظ بنين,بنين,قدرات,نظري,74.3,39
ثانوية المنارات الأهلية بالخبر ـ مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بالظهران,أهلي,تعليم عام بنين,بنين,قدرات,علمي,81.447761,40
المعهد العلمي في بـريـــــدة - المرحلة الثانوية,القصيم,وكالة المعاهد العلمية بجامعة الامام,الرياض,معهد جامعة الامام,معهد علمي,بنين,قدرات,نظري,74.015243,40
ثانوية ابن خلدون الأهلية - عرقة,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالرائد,أهلي,تعليم عام بنين,بنين,قدرات,علمي,81.0,41
المعهد العلمي في مـكــــــة المكرمة - المرحلة الثانوية,مكة المكرمة,وكالة المعاهد العلمية بجامعة الامام,الرياض,معهد جامعة الامام,معهد علمي,بنين,قدرات,نظري,73.956097,41
ثانوية رياض نجد الأهلية,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالروضة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,80.933649,42
ثانوية تحفيظ الخماسين - مقررات,الرياض,إدارة التعليم بمحافظة وادي الدواسر,إدارة الإشراف التربوي,حكومي,تحفيظ بنين,بنين,قدرات,نظري,73.746031,42
ثانوية مشكاة المنار الأهلية - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بغرب الدمام,أهلي,تعليم عام بنين,بنين,قدرات,علمي,80.739583,43
ثانوية محمد بن الأنباري لتحفيظ القرآن الكريم - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم بمحافظة الحناكية,حكومي,تحفيظ بنين,بنين,قدرات,نظري,73.706666,43
ثانوية الأقصى الأهلية (مقررات),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالوسط,أهلي,تعليم عام بنين,بنين,قدرات,علمي,80.728237,44
ثانوية المعتمد بن عباد - نظام المقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالشمال,حكومي,تعليم عام بنين,بنين,قدرات,نظري,73.688311,44
